"Year","Geo","State","Region","Commodity","Measurement","Unit of Measurement","label","Treat","Name","ID","Toxicity","value"
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825","Real",200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","Real",400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","Real",200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","Real",300
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701","Real",200
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","Real",100
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831","Real",100
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825","Real",200
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","Real",600
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099","Real",100
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","Real",500
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701","Real",500
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","Real",400
2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS "," 59101","Real",2100
2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","Real",1500
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS "," 59101","Real",3500
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","DIAZINON "," 57801","Real",4900
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","Real",300
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","Real",300
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","Real",1000
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","Real",400
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825","LD50",54
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","LD50",88
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","LD50",56
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","LD50",45
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701","LD50",470
2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","LD50",250
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN "," 118831","LD50",869
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN "," 128825","LD50",54
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","LD50",88
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","IMIDACLOPRID "," 129099","LD50",131
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","LD50",56
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN "," 109701","LD50",470
2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","LD50",250
2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS "," 59101","LD50",2000
2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","LD50",45
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS "," 59101","LD50",2000
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","DIAZINON "," 57801","LD50",76
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE "," 109303","LD50",88
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN "," 128897","LD50",56
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL "," 90301","LD50",45
2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN "," 129064","LD50",250
