"","Year","Geo","State","Region","Commodity","Measurement","Unit.of.Measurement","label","Treat","Name","ID","Real","LD50","tox"
"1",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN ",128825,90.7184,4793.473458,0.018925399461344
"2",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE ",109303,181.4368,7811.586376,0.0232266266116495
"3",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN ",128897,90.7184,4971.009512,0.0182494923377246
"4",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL ",90301,136.0776,3994.561215,0.0340657190304192
"5",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN ",109701,90.7184,41720.97269,0.00217440759768633
"6",2016,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN ",129064,45.3592,22192.00675,0.00204394314182515
"7",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BETA-CYFLUTHRIN ",118831,45.3592,77139.415463,0.000588015863586062
"8",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","BIFENTHRIN ",128825,90.7184,4793.473458,0.018925399461344
"9",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE ",109303,272.1552,7811.586376,0.0348399399174742
"10",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","IMIDACLOPRID ",129099,45.3592,11628.611537,0.00390065485081136
"11",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN ",128897,226.796,4971.009512,0.0456237308443114
"12",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","PERMETHRIN ",109701,226.796,41720.97269,0.00543601899421583
"13",2014,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN ",129064,181.4368,22192.00675,0.00817577256730061
"14",2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS ",59101,952.5432,177536.054,0.00536535074729103
"15",2010,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL ",90301,680.388,3994.561215,0.170328595152096
"16",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","CHLORPYRIFOS ",59101,1587.572,177536.054,0.00894225124548504
"17",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","DIAZINON ",57801,2222.6008,6746.370052,0.329451361675765
"18",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ESFENVALERATE ",109303,136.0776,7811.586376,0.0174199699587371
"19",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN ",128897,136.0776,4971.009512,0.0273742385065869
"20",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","METHOMYL ",90301,453.592,3994.561215,0.113552396768064
"21",2006,"REGION : MULTI-STATE",NA,"PROGRAM STATES","CAULIFLOWER"," APPLICATIONS"," MEASURED IN LB","RESTRICTED USE CHEMICAL"," INSECTICIDE","ZETA-CYPERMETHRIN ",129064,181.4368,22192.00675,0.00817577256730061
