"Name","ID"
"PARAQUAT "," 61601"
"ABAMECTIN "," 122804"
"BETA-CYFLUTHRIN "," 118831"
"BIFENTHRIN "," 128825"
"CHLORANTRANILIPROLE "," 90100"
"CHLORPYRIFOS "," 59101"
"CYFLUTHRIN "," 128831"
"EMAMECTIN BENZOATE "," 122806"
"ESFENVALERATE "," 109303"
"IMIDACLOPRID "," 129099"
"LAMBDA-CYHALOTHRIN "," 128897"
"METHOMYL "," 90301"
"NALED "," 34401"
"OXYDEMETON-METHYL "," 58702"
"PERMETHRIN "," 109701"
"THIAMETHOXAM","60109"
"ZETA-CYPERMETHRIN "," 129064"
"DICHLOROPROPENE "," 29001"
"DIAZINON "," 57801"
"DIMETHOATE "," 35001"
"DISULFOTON "," 32501"
"FENPROPATHRIN "," 127901"
"CYPERMETHRIN "," 109702"
"PRONAMIDE "," 101701"
"DIFLUBENZURON "," 108201"
"GAMMA-CYHALOTHRIN "," 128807"
"METHAMIDOPHOS "," 101201"
"THIODICARB "," 114501"
